# index, _pos
3494,"array([ 501.3109451 , 2344.14189195])"
3495,"array([ 131.72206806, -159.7509125 ])"
3496,"array([ 149.41837758, -141.01716195])"
3497,"array([ 166.03338337, -118.26026786])"
3498,"array([ 132.05395358, -150.77556642])"
3499,"array([ 146.25257385, -121.51842131])"
3500,"array([ 143.78441264, -131.61113464])"
3501,"array([ 122.24726379, -115.10888477])"
3502,"array([ 137.08121311, -137.87112515])"
3503,"array([ 162.53298367, -122.15089104])"
3504,"array([ 179.95247553, -101.66629145])"
3505,"array([ 137.77416912, -157.92830343])"
3506,"array([ 133.05719728, -152.65138309])"
3507,"array([ 147.54965725, -127.27368717])"
3508,"array([ 122.83024114, -116.19544623])"
3509,"array([ 134.84379941, -132.4306749 ])"
3510,"array([ 124.17531476, -107.38936236])"
3511,"array([ 119.60463613, -119.10497488])"
3512,"array([ 145.19385288, -136.14142864])"
3513,"array([ 144.08820813, -133.79318227])"
3514,"array([ 137.76280918, -132.70720815])"
3515,"array([ 131.6408847 , -112.73945659])"
3516,"array([ 131.08752997, -114.91430474])"
3517,"array([ 152.69361301, -136.95048   ])"
3518,"array([ 159.17415609, -126.86763822])"
3519,"array([ 127.69427483, -117.3395996 ])"
3520,"array([ 152.48189671, -133.10177902])"
3521,"array([ 155.32166788, -124.5008329 ])"
3522,"array([ 123.93376948, -123.49161892])"
3523,"array([ 143.13844147, -130.83761532])"
3524,"array([ 132.34540837, -125.84079633])"
3525,"array([ 157.27320982, -149.47970851])"
3526,"array([ 126.83274992, -115.77863415])"
3527,"array([ 133.72301099, -113.79501521])"
3528,"array([ 119.56128795, -108.48146777])"
3529,"array([ 159.96596324, -122.07045578])"
3530,"array([ 148.95798288, -128.30157593])"
3531,"array([ 125.07804726, -118.3330149 ])"
3532,"array([ 142.6758046 , -139.06321948])"
3533,"array([ 149.81921619, -140.31799646])"
3534,"array([ 134.82875693, -134.38713857])"
3535,"array([ 135.77197176, -139.76358146])"
3536,"array([ 148.73303776, -138.50206864])"
3537,"array([ 142.05225379, -141.16383093])"
3538,"array([ 127.32294251, -123.58357336])"
3539,"array([ 167.9579354 , -124.28120328])"
3540,"array([ 126.27560552, -114.84914717])"
3541,"array([ 123.89733733, -117.74343578])"
3542,"array([ 129.38888287, -116.17845125])"
3543,"array([ 157.70001967, -120.59788964])"
3544,"array([ 133.44761809, -129.39321793])"
3545,"array([ 131.14410003, -141.21832905])"
3546,"array([ 139.24761565, -135.11267006])"
3547,"array([ 146.53346541, -115.46664841])"
3548,"array([ 145.5293811 , -129.77549092])"
3549,"array([ 146.98411863, -137.37996073])"
3550,"array([ 148.46682496, -141.74617283])"
3551,"array([ 165.53623738, -126.82672217])"
3552,"array([ 158.6891897 , -129.80924171])"
3553,"array([ 120.65772948, -123.63588407])"
3554,"array([ 124.6802475 , -116.30278469])"
3555,"array([ 113.40834163, -107.00000175])"
3556,"array([ 159.68146132, -120.63879797])"
3557,"array([ 143.03988787, -138.94712101])"
3558,"array([ 137.0400917 , -137.40638562])"
3559,"array([ 137.09470571, -135.27611631])"
3560,"array([ 137.74527817, -137.96169696])"
3561,"array([ 132.61301631, -126.92325092])"
3562,"array([ 136.2730466 , -134.45055531])"
3563,"array([ 149.40386168, -153.06506959])"
3564,"array([ 117.7646322 , -103.27044724])"
3565,"array([ 145.03624316, -142.26199775])"
3566,"array([ 130.47655805, -114.58353277])"
3567,"array([ 130.98269221, -132.07155226])"
3568,"array([ 129.39734911, -133.52750657])"
3569,"array([ 156.30458283, -140.95648082])"
3570,"array([ 129.97750261, -109.35564823])"
3571,"array([ 154.4707736 , -127.30000642])"
3572,"array([ 144.10361514, -145.20713108])"
3573,"array([ 161.52715185, -128.0104212 ])"
3574,"array([ 146.20535933, -126.77964735])"
3575,"array([ 133.70518236, -137.0767172 ])"
3576,"array([ 147.22729832, -144.39086653])"
3577,"array([ 121.2517296 , -118.89012282])"
3578,"array([ 143.39892388, -146.83630471])"
3579,"array([ 137.84245091, -150.34198147])"
3580,"array([ 148.43777238, -142.56653096])"
3581,"array([ 154.69162825, -130.67621705])"
3582,"array([ 118.57155389, -111.8588129 ])"
3583,"array([ 127.03569842, -110.73044812])"
3584,"array([ 126.77930609, -113.50388958])"
3585,"array([ 144.41400726, -148.91495491])"
3586,"array([ 115.38698573, -112.39432001])"
3587,"array([ 139.59293124, -123.57895156])"
3588,"array([ 132.92834301, -159.78806448])"
3589,"array([ 147.28905754, -142.65811841])"
3590,"array([ 134.63312063, -130.95020478])"
3591,"array([ 154.35173755, -146.64273027])"
3592,"array([ 143.01361248, -113.88716073])"
3593,"array([ 130.49660331, -136.81204817])"
3594,"array([ 122.0933839 , -122.18260781])"
3595,"array([ 145.57602596, -148.1576873 ])"
3596,"array([ 149.78361769, -137.58884089])"
3597,"array([ 120.39446322, -178.95000641])"
3598,"array([ 151.64218591, -122.38146042])"
3599,"array([ 137.21051327, -117.45458561])"
3600,"array([ 154.26274741, -137.83411408])"
3601,"array([ 135.50476153, -137.3214224 ])"
3602,"array([ 132.10253405, -140.29964519])"
3603,"array([ 152.33984853, -132.54463054])"
3604,"array([ 122.70976559, -110.96383935])"
3605,"array([ 139.43650585, -140.39230207])"
3606,"array([ 141.11168185, -141.10164373])"
3607,"array([ 134.40191789, -126.31805106])"
3608,"array([ 157.71168585, -132.96088533])"
3609,"array([ 126.15464308, -110.80182289])"
3610,"array([ 151.26033476, -143.68280751])"
3611,"array([ 161.26807411, -133.76555973])"
3612,"array([ 137.85922467, -118.07339109])"
3613,"array([ 153.2348046 , -137.89004088])"
3614,"array([ 127.18482246, -118.88614795])"
3615,"array([ 126.76871749, -110.17074672])"
3616,"array([ 148.72722285, -132.83272407])"
3617,"array([ 116.96487813, -117.73809228])"
3618,"array([ 121.74573417, -139.01345072])"
3619,"array([ 141.82945019, -129.60176963])"
3620,"array([ 138.24667871, -125.90055542])"
3621,"array([ 144.38484002, -133.845417  ])"
3622,"array([ 124.72551673, -113.22286902])"
3623,"array([143.51197849, -95.08045268])"
3624,"array([ 138.15265379, -118.47028737])"
3625,"array([ 134.13811587, -136.51194849])"
3626,"array([ 137.85311384, -172.01712348])"
3627,"array([ 127.19444261, -116.40996183])"
3628,"array([ 124.38667491, -113.34458471])"
3629,"array([ 144.12113704, -163.78227696])"
3630,"array([ 143.28830107, -136.37688882])"
3631,"array([ 142.33953211, -133.65489587])"
3632,"array([ 119.32743827, -116.25029314])"
3633,"array([ 122.40536132, -124.50842538])"
3634,"array([ 150.40005271, -140.43732158])"
3635,"array([ 131.04192203, -140.78941373])"
3636,"array([ 137.69049501, -143.17495622])"
3637,"array([ 156.47357847, -110.2674542 ])"
3638,"array([ 153.23611588, -118.63188713])"
3639,"array([ 140.4941857 , -128.68094875])"
3640,"array([ 129.19873636, -111.66796375])"
3641,"array([ 149.39401707, -134.65633981])"
3642,"array([ 142.61104771, -144.9899488 ])"
3643,"array([ 133.13088405, -108.30857444])"
3644,"array([ 140.21626459, -128.9451023 ])"
3645,"array([ 145.83010544, -122.69821677])"
3646,"array([ 130.34566261, -136.64843643])"
3647,"array([ 117.61568413, -112.80056224])"
3648,"array([ 144.23451188, -134.18389826])"
3649,"array([ 132.72825485, -114.51426825])"
3650,"array([ 137.2742046 , -137.04768149])"
3651,"array([ 136.03801316, -140.79610847])"
3652,"array([ 119.50902413, -100.84662289])"
3653,"array([ 132.8261912 , -145.04819554])"
3654,"array([ 140.4594195 , -141.58784084])"
3655,"array([125.16002797, -95.35207446])"
3656,"array([ 139.56252336, -122.08113758])"
3657,"array([ 134.40824067, -146.48882592])"
3658,"array([119.25238148, -92.70944613])"
3659,"array([ 122.66441107, -126.08473911])"
3660,"array([ 152.91594501, -139.28798465])"
3661,"array([ 165.00374949, -117.62424029])"
3662,"array([ 162.45252398, -113.06225791])"
3663,"array([ 148.78558548, -124.47895496])"
3664,"array([ 136.21019101, -126.65025171])"
3665,"array([ 145.95895921, -138.87114914])"
3666,"array([ 159.97668384, -140.40184421])"
3667,"array([ 134.21994604, -134.20744928])"
3668,"array([ 147.57122744, -140.02440132])"
3669,"array([ 147.82745135, -133.57695553])"
3670,"array([ 152.13923889, -133.25978079])"
3671,"array([ 153.36992537, -142.95201227])"
3672,"array([ 116.6348744 , -116.44598178])"
3673,"array([ 125.73808998, -116.54733068])"
3674,"array([ 151.0667555 , -140.93605273])"
3675,"array([ 129.61848214, -139.452076  ])"
3676,"array([ 123.44744417, -109.57351316])"
3677,"array([ 158.68148293, -129.10106613])"
3678,"array([ 129.55746563, -130.51819614])"
3679,"array([ 117.90759535, -161.99127571])"
3680,"array([ 116.24921208, -167.74862536])"
3681,"array([ 154.75666021, -125.39521195])"
3682,"array([ 171.61033264, -144.72564624])"
3683,"array([ 131.07284906, -123.34665728])"
3684,"array([ 130.58657118, -123.30933171])"
3685,"array([ 123.56416055, -147.10105746])"
3686,"array([ 117.65445099, -148.6468288 ])"
3687,"array([ 126.83261613, -144.9496669 ])"
3688,"array([ 131.88158062, -127.48743349])"
3689,"array([ 138.13922174, -143.59218648])"
3690,"array([  97.8393436 , -147.72484047])"
3691,"array([ 126.76402989, -110.47178166])"
3692,"array([ 122.55386647, -106.97565035])"
3693,"array([ 137.49440225, -151.35670311])"
3694,"array([ 134.70545046, -146.64239168])"
3695,"array([ 148.80705164, -130.27459826])"
3696,"array([ 131.20947231, -121.79868652])"
3697,"array([ 129.67896217, -116.95927476])"
3698,"array([ 147.9845925 , -135.90135479])"
3699,"array([ 152.86225939, -117.19569389])"
3700,"array([ 159.08137936, -110.71926767])"
3701,"array([ 158.96796088, -113.56410942])"
3702,"array([-2099.06585722,   934.49550384])"
3703,"array([ 125.97834721, -116.3239671 ])"
3704,"array([ 152.91722396, -114.81784445])"
3705,"array([ 160.02742559, -120.32380856])"
3706,"array([ 133.89919577, -117.37902632])"
3707,"array([ 121.7569803 , -134.09472404])"
3708,"array([ 124.90163099, -131.30937687])"
3709,"array([ 125.866102 , -106.3998977])"
3710,"array([ 130.62743221, -121.14576166])"
3711,"array([ 136.00155512, -149.48301484])"
3712,"array([ 124.51521837, -111.69478202])"
3713,"array([ 150.90191343, -113.62488369])"
3714,"array([ 118.73960529, -106.28600103])"
3715,"array([ 122.46906413, -116.11735297])"
3716,"array([ 152.71592702, -120.13837787])"
3717,"array([ 141.32734668, -127.77289429])"
3718,"array([ 129.96223272, -126.7094054 ])"
3719,"array([ 126.30692986, -113.80261144])"
3720,"array([ 157.3913634 , -128.56428097])"
3721,"array([ 139.25386207, -137.55639364])"
3722,"array([ 129.7752657 , -129.42865652])"
3723,"array([ 162.96830195, -140.38819693])"
3724,"array([ 150.15815751, -133.51965893])"
3725,"array([ 129.11611454, -127.39381768])"
3726,"array([ 130.69119019, -131.07542259])"
3727,"array([ 144.89941627, -139.54274436])"
3728,"array([ 146.08574167, -128.96951262])"
3729,"array([ 122.09784558, -110.72317532])"
3730,"array([ 133.03632348, -147.33851632])"
3731,"array([ 146.52066899, -126.860833  ])"
3732,"array([ 141.33495856, -126.9356511 ])"
3733,"array([ 133.65134491, -143.51227421])"
3734,"array([ 165.5737972 , -130.18995099])"
3735,"array([ 127.70984614, -138.22747941])"
3736,"array([ 149.58429209, -123.40260159])"
3737,"array([ 146.21314625, -139.12385115])"
3738,"array([ 146.87731396, -132.97476065])"
3739,"array([ 146.87182258, -122.86313136])"
3740,"array([ 121.33893412, -115.50582139])"
3741,"array([ 146.75759262, -117.3182514 ])"
3742,"array([ 126.9040378 , -150.15873796])"
3743,"array([ 128.71501083, -122.86144165])"
3744,"array([ 137.94441928, -135.15319437])"
3745,"array([ 138.60934074, -134.05366372])"
3746,"array([ 149.594449  , -109.42013094])"
3747,"array([ 156.23223311, -133.6334045 ])"
3748,"array([ 111.00598596, -159.22505281])"
3749,"array([ 135.73935404, -112.82691987])"
3750,"array([ 132.99151573, -154.12179295])"
3751,"array([ 116.98072899, -115.83171872])"
3752,"array([ 140.04627053, -155.40478981])"
3753,"array([ 140.89455683, -157.20459126])"
3754,"array([ 134.8669593 , -103.40503579])"
3755,"array([ 130.50738707, -150.8867604 ])"
3756,"array([ 143.89280921, -122.41294077])"
3757,"array([ 152.09563225, -121.26118562])"
3758,"array([ 135.46311231, -109.47167078])"
3759,"array([ 154.43172926, -138.24197297])"
3760,"array([ 124.35688461, -114.31880377])"
3761,"array([ 131.29126469, -138.50279539])"
3762,"array([ 122.56890924, -115.10280743])"
3763,"array([ 133.56942064, -142.17936065])"
3764,"array([ 138.89570317, -123.2412591 ])"
3765,"array([ 136.45743468, -120.29257721])"
3766,"array([ 131.18876587, -137.77941769])"
3767,"array([ 135.73126703, -136.05184971])"
3768,"array([ 147.26849208, -136.77621672])"
3769,"array([ 148.60731728, -118.26319785])"
3770,"array([ 153.25764528, -124.6042308 ])"
3771,"array([ 134.08483681, -116.30709465])"
3772,"array([ 150.17523598, -123.1055145 ])"
3773,"array([ 167.83907636, -121.49230337])"
3774,"array([ 128.16096074, -124.81143037])"
3775,"array([ 147.87378726, -122.14462723])"
3776,"array([ 140.4070759, -146.03948  ])"
3777,"array([ 171.59590761, -151.0227462 ])"
3778,"array([ 147.97482267, -129.07738109])"
3779,"array([ 131.56820036, -144.78444099])"
3780,"array([ 132.12991507, -133.74852234])"
3781,"array([ 105.4489925 , -112.31997858])"
3782,"array([ 137.84041899, -114.55806592])"
3783,"array([ 128.76408393, -115.50379395])"
3784,"array([ 134.4818375 , -134.84678185])"
3785,"array([ 129.47680449, -114.00122099])"
3786,"array([ 123.33469434, -147.64994517])"
3787,"array([ 156.48374568, -131.30128405])"
3788,"array([ 167.40787212, -115.01409614])"
3789,"array([ 157.20356827, -158.89130184])"
3790,"array([ 136.35121578, -138.2914663 ])"
3791,"array([ 146.77411726, -138.72513906])"
3792,"array([ 151.23983851, -144.6054122 ])"
3793,"array([ 139.59607934, -136.59172284])"
3794,"array([ 129.1739682 , -140.44402834])"
3795,"array([ 151.65700568, -137.69282383])"
3796,"array([ 123.50524917, -144.79516049])"
3797,"array([ 122.42478114, -148.16803635])"
3798,"array([ 149.02859292, -142.83497038])"
3799,"array([ 151.28210199, -144.20229698])"
3800,"array([ 129.64943319, -110.75312685])"
3801,"array([ 133.47122462, -112.77659252])"
3802,"array([ 132.63834483, -113.98607368])"
3803,"array([ 147.29537372, -125.59411904])"
3804,"array([ 166.10711663, -115.34360062])"
3805,"array([ 159.3247291 , -130.69891883])"
3806,"array([ 163.46633959, -123.73096015])"
3807,"array([ 122.07306767, -111.8823783 ])"
3808,"array([ 153.41656221, -128.48611941])"
3809,"array([ 137.57891832, -133.24361954])"
3810,"array([ 143.22684288, -146.2175081 ])"
3811,"array([ 138.21688681, -131.50053337])"
3812,"array([ 153.77636183, -127.68999773])"
3813,"array([ 150.02081087, -154.19333837])"
3814,"array([ 147.68996787, -150.93751341])"
3815,"array([ 130.81760675, -110.21199395])"
3816,"array([ 134.25349537, -140.24338863])"
3817,"array([ 142.4625417, -140.4998367])"
3818,"array([ 128.2736721 , -119.09159075])"
3819,"array([ 124.91538969, -119.41272653])"
3820,"array([ 145.42024753, -141.32519395])"
3821,"array([ 142.58237999, -137.0414799 ])"
3822,"array([ 141.56064196, -121.52637171])"
3823,"array([ 144.29868179, -138.12968665])"
3824,"array([ 138.67797622, -134.93305686])"
3825,"array([ 142.252326  , -146.07195545])"
3826,"array([ 147.60002386, -133.44689759])"
3827,"array([ 139.64589003, -134.22831499])"
3828,"array([ 126.06899308, -129.83801483])"
3829,"array([ 142.49655217, -125.68163905])"
3830,"array([2536.00174413,  445.6321216 ])"
3831,"array([ 144.40616519, -150.79630374])"
3832,"array([ 123.7954633 , -111.89439999])"
3833,"array([ 144.26891712, -138.62709834])"
3834,"array([ 142.55093968, -143.92620964])"
3835,"array([ 135.28901268, -105.7879376 ])"
3836,"array([ 160.18641903, -132.2407153 ])"
3837,"array([ 162.85467602, -130.95313927])"
3838,"array([ 147.88835357, -131.41782709])"
3839,"array([ 117.86974064, -110.59071699])"
3840,"array([ 161.29792654, -151.62018818])"
3841,"array([169.65950481, -91.92498609])"
3842,"array([ 126.3681745 , -113.16641358])"
3843,"array([ 120.4321635 , -114.11510234])"
3844,"array([ 153.37198297, -127.3655684 ])"
3845,"array([ 154.93581523, -128.40120463])"
3846,"array([ 160.53142864, -124.29535464])"
3847,"array([ 155.18181216, -133.51822289])"
3848,"array([ 132.80319793, -132.87537207])"
3849,"array([ 135.90288424, -130.24550157])"
3850,"array([ 128.80690437, -129.45453521])"
3851,"array([ 149.55446029, -119.15449816])"
3852,"array([ 129.87329721, -131.59649616])"
3853,"array([ 132.78135716, -132.59650171])"
3854,"array([ 133.61882938, -139.03446248])"
3855,"array([ 156.90922031, -126.22350605])"
3856,"array([ 132.84517296, -122.09341064])"
3857,"array([ 111.68518345, -151.06103675])"
3858,"array([ 164.99244572, -123.53154264])"
3859,"array([ 123.39436997, -116.4615463 ])"
3860,"array([ 142.50905595, -118.90421082])"
3861,"array([ 150.90971994, -139.03750838])"
3862,"array([ 153.5852804 , -134.30160831])"
3863,"array([ 149.0022299 , -147.52525168])"
3864,"array([ 139.78188857, -142.33246992])"
3865,"array([ 157.45990443, -151.4408584 ])"
3866,"array([ 146.301425  , -136.67454247])"
3867,"array([ 141.07991664, -144.33617082])"
3868,"array([ 153.44098178, -154.89551825])"
3869,"array([ 139.57164092, -140.13854592])"
3870,"array([ 150.87644281, -131.98580348])"
3871,"array([ 147.75551952, -121.045714  ])"
3872,"array([153.90489883, -94.94732312])"
3873,"array([ 122.35958398, -111.48582373])"
3874,"array([ 157.73314875, -125.29393551])"
3875,"array([ 168.95086421, -107.70011405])"
3876,"array([ 135.86015784, -138.05214114])"
3877,"array([ 125.73851918, -127.52441729])"
3878,"array([ 152.58137902, -144.99263556])"
3879,"array([ 140.22096996, -127.2473084 ])"
3880,"array([ 135.52473953, -130.93755877])"
3881,"array([ 162.82698161, -138.57375705])"
3882,"array([ 150.05260011, -122.4603468 ])"
3883,"array([ 155.12671796, -143.22409023])"
3884,"array([ 121.63919763, -111.14942265])"
3885,"array([ 125.55346067, -120.44852173])"
3886,"array([ 155.33181145, -128.62377611])"
3887,"array([ 184.9583595, -170.7143064])"
3888,"array([ 145.84909334, -141.22143232])"
3889,"array([ 131.55846336, -129.529912  ])"
3890,"array([ 151.92086431, -136.89919457])"
3891,"array([ 140.18587375, -133.40820406])"
3892,"array([ 138.11741318, -160.64692224])"
3893,"array([ 151.9288339 , -120.35724865])"
3894,"array([ 123.86142038, -116.00294019])"
3895,"array([ 113.12952198, -120.88556161])"
3896,"array([ 119.97700129, -116.7155248 ])"
3897,"array([ 125.26255878, -107.75448371])"
3898,"array([ 135.49703206, -129.12824579])"
3899,"array([ 138.40406705, -150.37861139])"
3900,"array([ 133.98922183, -131.7582985 ])"
3901,"array([ 120.72471203, -135.69610922])"
3902,"array([ 137.70648632, -127.62218186])"
3903,"array([ 136.46322172, -136.53075983])"
3904,"array([ 125.56964368, -115.54120208])"
3905,"array([ 126.90574893, -112.89088236])"
3906,"array([138.88559053, -86.75149203])"
3907,"array([138.57586464, -88.86677691])"
3908,"array([ 125.91885721, -105.98786789])"
3909,"array([ 140.44047973, -144.45410175])"
3910,"array([ 142.1473648 , -150.33868025])"
3911,"array([ 148.90192961, -140.76983682])"
3912,"array([ 122.11930924, -103.88020953])"
3913,"array([ 127.62780339, -107.4994523 ])"
3914,"array([ 152.6274867 , -116.05981883])"
3915,"array([ 118.94078068, -100.71697585])"
3916,"array([ 142.23460751, -146.42016993])"
3917,"array([ 142.99778479, -142.1282775 ])"
3918,"array([ 124.02192048, -150.45691587])"
3919,"array([ 143.01486752, -139.68030875])"
3920,"array([ 130.88494945, -116.96073216])"
3921,"array([ 135.43160977, -140.94808215])"
3922,"array([ 115.97649268, -118.50075016])"
3923,"array([ 119.35687473, -123.1623894 ])"
3924,"array([ 133.53766082, -144.80970656])"
3925,"array([ 153.0636156 , -145.46872536])"
3926,"array([ 133.09815146, -103.66696422])"
3927,"array([ 166.34525672, -117.45254425])"
3928,"array([ 161.53557841, -121.94750344])"
3929,"array([ 145.04538607, -132.17699615])"
3930,"array([ 132.42043461, -134.20340533])"
3931,"array([ 137.84178347, -127.92893165])"
3932,"array([ 142.82815301, -146.61953323])"
3933,"array([ 146.90865097, -128.10741122])"
3934,"array([111.66085835, -87.92056391])"
3935,"array([ 136.79116448, -151.69291388])"
3936,"array([ 119.2583673 , -122.08530163])"
3937,"array([ 149.21581429, -122.30124777])"
3938,"array([ 120.22603586, -104.43263924])"
3939,"array([ 133.12684254, -115.07022331])"
3940,"array([ 164.80313032, -145.80744239])"
3941,"array([ 107.29306189, -103.3084725 ])"
3942,"array([ 129.94250216, -130.84089059])"
3943,"array([ 127.61077794, -125.13248349])"
3944,"array([ 116.86623281, -116.49037241])"
3945,"array([ 118.65846929, -116.40600919])"
3946,"array([ 135.12288917, -139.44540237])"
3947,"array([ 122.2524105 , -124.81530967])"
3948,"array([ 128.96090685, -128.72716285])"
3949,"array([ 129.83280369, -135.63934969])"
3950,"array([ 128.67964934, -139.5031257 ])"
3951,"array([ 147.18636851, -114.93286677])"
3952,"array([ 136.52665142, -102.9618891 ])"
3953,"array([ 130.894601 , -112.4130448])"
3954,"array([ 163.46472396, -108.08111128])"
3955,"array([ 139.00893551, -143.22886041])"
3956,"array([ 146.07262203, -129.27959481])"
3957,"array([ 148.29639516, -132.3140054 ])"
3958,"array([ 134.60225296, -108.29639943])"
3959,"array([ 148.0624964 , -134.70958575])"
3960,"array([ 157.08158821, -134.56070407])"
3961,"array([ 149.85288601, -148.58606739])"
3962,"array([ 138.13537787, -127.78486719])"
3963,"array([ 123.75265793, -118.82290256])"
3964,"array([ 129.99156314, -137.11636754])"
3965,"array([ 130.97453157, -137.64302883])"
3966,"array([ 123.98357466, -114.02434738])"
3967,"array([ 127.17207022, -139.7096373 ])"
3968,"array([ 135.00848856, -121.95262325])"
3969,"array([ 134.6910104, -127.8143682])"
3970,"array([ 155.60055132, -147.90272822])"
3971,"array([ 148.86877303, -150.70884919])"
3972,"array([ 142.39372873, -127.31851175])"
3973,"array([ 140.92895181, -134.26154319])"
3974,"array([ 122.62852067, -121.00469027])"
3975,"array([ 144.76736447, -135.7234073 ])"
3976,"array([ 151.43351187, -121.50470689])"
3977,"array([ 131.28771889, -146.50439781])"
3978,"array([ 156.16617129, -133.28108483])"
3979,"array([ 133.95530762, -151.74704747])"
3980,"array([ 150.25295243, -141.25872387])"
3981,"array([ 152.57420652, -141.64575636])"
3982,"array([ 123.32384751, -131.16166099])"
3983,"array([ 124.10915068, -118.86510212])"
3984,"array([ 135.5085597 , -137.08165507])"
3985,"array([ 135.89541697, -103.69536092])"
3986,"array([ 129.79818287, -110.40579329])"
3987,"array([ 141.08561776, -140.12663972])"
3988,"array([ 147.88520191, -145.36074897])"
3989,"array([ 137.27681112, -126.16267423])"
3990,"array([ 109.12907096, -115.22209985])"
3991,"array([ 148.79404174, -140.48134818])"
3992,"array([ 116.69322175, -131.66486991])"
3993,"array([ 141.358149  , -147.09758167])"
3994,"array([ 162.44838078, -150.50054051])"
3995,"array([ 145.94987342, -137.50709134])"
3996,"array([ 147.8517588 , -128.42838168])"
3997,"array([ 140.00081098, -124.3303155 ])"
3998,"array([ 141.93347377, -136.24108114])"
3999,"array([ 134.00393467, -141.07164884])"
4000,"array([ 126.87056978, -139.51042012])"
4001,"array([ 143.16130162, -138.39074961])"
4002,"array([ 141.20242292, -156.1040156 ])"
4003,"array([ 130.54046203, -140.56160315])"
4004,"array([ 156.27068811, -132.28217311])"
4005,"array([ 132.09840645, -137.66590518])"
4006,"array([ 131.12994839, -137.48102103])"
4007,"array([ 141.92237621, -122.67260053])"
4008,"array([ 155.07211417, -137.38099412])"
4009,"array([ 159.98528447, -135.72887371])"
4010,"array([ 139.68646238, -131.64664332])"
4011,"array([ 141.02492872, -139.86057968])"
4012,"array([ 132.15565739, -118.79422702])"
4013,"array([ 135.57998994, -142.0121425 ])"
4014,"array([ 123.08612698, -118.19110513])"
4015,"array([ 163.28965565, -167.96495989])"
4016,"array([ 133.16658248, -106.91213319])"
4017,"array([ 142.69884988, -139.57393181])"
4018,"array([ 140.19784152, -113.86964981])"
4019,"array([ 128.79927748, -138.48384221])"
4020,"array([ 136.44375926, -140.96493805])"
4021,"array([ 164.04290496, -133.81882639])"
4022,"array([ 141.90513107, -136.91165309])"
4023,"array([ 131.38641748, -143.50950003])"
4024,"array([ 144.50776181, -135.40417218])"
4025,"array([ 144.59098531, -140.4998921 ])"
4026,"array([ 132.00806448, -138.50825363])"
4027,"array([ 147.22760181, -139.90568902])"
4028,"array([ 131.29372   , -135.80206346])"
4029,"array([ 138.28298297, -137.8611208 ])"
4030,"array([ 139.09251172, -147.63069303])"
4031,"array([ 146.6197126 , -142.57024416])"
4032,"array([ 119.95767677, -112.36796191])"
4033,"array([ 118.82461133, -119.71650225])"
4034,"array([ 134.29696518, -120.37890887])"
4035,"array([ 141.35650639, -123.02292349])"
4036,"array([ 130.00852666, -138.25414757])"
4037,"array([ 128.95621529, -130.26852365])"
4038,"array([ 126.76465454, -124.62697969])"
4039,"array([ 124.38862292, -119.08042266])"
4040,"array([ 146.08041147, -121.192556  ])"
4041,"array([ 159.86612887, -138.77477155])"
4042,"array([ 149.60337118, -142.2940245 ])"
4043,"array([ 138.77856547, -149.08874222])"
4044,"array([ 130.57571521, -111.50446775])"
4045,"array([ 137.83517523, -126.04329643])"
4046,"array([ 135.56384375, -140.30259841])"
4047,"array([ 165.11815972, -121.8134845 ])"
4048,"array([ 145.68403285, -130.79940045])"
4049,"array([ 134.65453857, -124.36557142])"
4050,"array([ 126.72379135, -122.26855682])"
4051,"array([ 141.61346671, -136.73347141])"
4052,"array([ 152.71070479, -139.04112224])"
4053,"array([ 127.58415281, -109.12425192])"
4054,"array([ 123.020241  , -112.46062417])"
4055,"array([ 135.42288813, -111.44175143])"
4056,"array([ 131.98437923, -111.55990069])"
4057,"array([ 154.73386586, -130.30275235])"
4058,"array([ 125.58035335, -114.54147183])"
4059,"array([ 133.55087634, -137.94707818])"
4060,"array([ 144.49159148, -139.13900651])"
4061,"array([ 126.9019435 , -118.88819453])"
4062,"array([ 148.1851038 , -142.34670956])"
4063,"array([ 146.45537333, -122.69166633])"
4064,"array([ 179.89651868, -136.81532876])"
4065,"array([ 143.19216461, -114.35038849])"
4066,"array([ 146.15957677, -131.54596307])"
4067,"array([ 143.31511308, -144.56551766])"
4068,"array([ 128.10023462, -138.48575796])"
4069,"array([ 134.8657609 , -135.74028358])"
4070,"array([ 128.35290586, -116.73050771])"
4071,"array([ 155.34252708, -144.97075817])"
4072,"array([ 153.57465437, -124.08847873])"
4073,"array([ 144.80409994, -120.93602866])"
4074,"array([ 128.07585456, -113.71280129])"
4075,"array([ 826.37467487, 2221.7376013 ])"
4076,"array([ 133.30541703, -115.77087322])"
4077,"array([ 123.01808979, -110.68925373])"
4078,"array([ 132.44998406, -115.39552611])"
4079,"array([ 156.34069204, -100.86396123])"
4080,"array([ 153.1247701 , -110.83128217])"
4081,"array([ 143.42315346, -144.95336882])"
4082,"array([ 129.57501371, -113.66452659])"
4083,"array([ 132.74019919, -138.13280928])"
4084,"array([158.09458596, -99.79415873])"
4085,"array([ 144.79790123, -108.32876591])"
4086,"array([ 145.24721056, -146.78755276])"
4087,"array([ 147.18185176, -161.25048375])"
4088,"array([-1406.93126964,   156.56895157])"
4089,"array([ 125.34173131, -130.93794341])"
4090,"array([ 142.10356942, -157.51591931])"
4091,"array([ 129.24344885, -136.03728267])"
4092,"array([ 147.23366484, -143.55119066])"
4093,"array([ 129.35845084, -141.09306008])"
4094,"array([ 130.24499902, -130.22249114])"
