# index, _pos
143,"array([ 152.36013257, -128.51183903])"
144,"array([ 145.97552951, -132.91418724])"
145,"array([ 155.17088807, -137.8005435 ])"
146,"array([ 143.86996333, -145.8662495 ])"
147,"array([ 166.0486922 , -125.57454542])"
148,"array([ 145.36279507, -130.37782851])"
149,"array([ 151.86799375, -140.65376331])"
150,"array([ 155.40628894, -117.66136854])"
151,"array([ 159.07971824, -113.13147482])"
152,"array([ 146.7424174, -123.7678353])"
153,"array([ 146.55481292, -126.01890183])"
154,"array([ 140.37862728, -122.89541068])"
155,"array([ 144.44281213, -122.97096963])"
156,"array([ 153.90682468, -122.48231419])"
157,"array([ 147.59820113, -129.31503643])"
158,"array([ 141.5916457 , -135.50368918])"
159,"array([ 146.15070784, -131.26043494])"
160,"array([ 162.79275913, -129.88024644])"
161,"array([ 171.85583587, -137.63136093])"
162,"array([ 154.27547873, -134.65804276])"
163,"array([ 141.4481727 , -137.70774801])"
164,"array([ 160.57738672, -128.67096289])"
165,"array([ 147.0147926 , -135.36028201])"
166,"array([ 150.65687543, -135.37893957])"
167,"array([ 142.63995295, -121.12568586])"
168,"array([ 140.35922643, -116.11428352])"
169,"array([ 146.05434629, -134.32053393])"
170,"array([ 156.05903829, -130.87465461])"
171,"array([ 154.30052593, -138.80799452])"
172,"array([ 145.52289317, -135.65773609])"
173,"array([ 151.24463584, -133.20987705])"
174,"array([ 156.40126662, -104.33756354])"
175,"array([ 140.41462531, -113.16948607])"
176,"array([ 157.65446621, -110.87637792])"
177,"array([ 163.0872603 , -128.02040003])"
178,"array([127.06352439, -99.22174649])"
179,"array([ 141.69938485, -136.10902098])"
180,"array([ 132.2145905 , -135.81615479])"
181,"array([ 146.37361278, -130.91490457])"
182,"array([ 153.53136698, -119.94809581])"
183,"array([ 134.93509727, -150.41361254])"
184,"array([ 143.79549657, -132.2020889 ])"
185,"array([ 142.28615005, -137.16299342])"
186,"array([ 153.52018707, -130.85101136])"
187,"array([ 143.44666332, -127.11811238])"
188,"array([ 143.73702862, -146.93199123])"
189,"array([ 142.94516191, -136.27971644])"
190,"array([ 155.86772719, -143.10247564])"
191,"array([ 153.94468097, -136.28233821])"
192,"array([ 142.016474  , -138.33754853])"
193,"array([ 143.25647122, -134.86148333])"
194,"array([ 141.94431629, -128.41226913])"
195,"array([ 147.4859338 , -146.02264367])"
196,"array([ 140.45278779, -123.28173655])"
197,"array([-1408.04790735,   157.18340286])"
198,"array([-1412.28173797,   157.97182547])"
199,"array([ 135.27156896, -140.7211647 ])"
200,"array([ 134.71991376, -181.2916746 ])"
201,"array([ 155.95688122, -135.93736322])"
202,"array([ 142.51693606, -138.72567323])"
203,"array([ 140.94936814, -136.49490666])"
204,"array([ 143.08926423, -136.67532562])"
205,"array([ 138.11571336, -140.26850412])"
206,"array([ 140.60595498, -135.96907704])"
207,"array([ 150.58061605, -138.11583241])"
208,"array([ 154.1479594 , -130.77776351])"
209,"array([ 153.07195499, -131.30917942])"
210,"array([ 148.06343991, -131.99859953])"
211,"array([ 135.05837193, -135.46306644])"
212,"array([ 143.26220879, -137.44433792])"
213,"array([ 149.70759863, -138.81894651])"
214,"array([ 651.64523897, 2276.75066876])"
215,"array([ 149.3994414 , -125.87441219])"
216,"array([ 174.470893  , -107.95190867])"
217,"array([ 141.11217257, -142.19508985])"
218,"array([ 143.1166268, -133.3487619])"
219,"array([ 146.3159906 , -135.32614027])"
220,"array([ 144.62219703, -130.19051837])"
221,"array([ 145.14124476, -132.47346062])"
222,"array([ 159.50704103, -116.80534932])"
223,"array([ 137.70396251, -167.71470219])"
224,"array([ 145.65138978, -142.11669478])"
225,"array([ 136.37474068, -133.11600591])"
226,"array([ 144.85656967, -137.96917685])"
227,"array([ 148.9097061 , -143.50603147])"
228,"array([ 143.02354685, -143.38875827])"
229,"array([ 115.94674668, -153.96460247])"
230,"array([ 140.75055855, -126.80381359])"
231,"array([ 143.54625822, -131.04753201])"
232,"array([ 134.49440526, -157.74473738])"
233,"array([ 150.8684691 , -143.54571982])"
234,"array([ 154.44178483, -136.39355052])"
235,"array([173.08002012, -99.29736821])"
236,"array([ 151.23938664, -135.74317957])"
237,"array([ 144.70003819, -136.56804321])"
238,"array([ 139.55635338, -130.62983939])"
239,"array([ 142.81963956, -135.75321566])"
240,"array([ 137.41559155, -146.96002926])"
241,"array([ 137.97459041, -148.46816932])"
242,"array([ 142.79203684, -130.72189558])"
243,"array([ 170.38827483, -122.87372002])"
244,"array([ 155.36871913, -125.18840558])"
245,"array([ 143.97324862, -133.57677103])"
246,"array([ 149.65601625, -134.15998707])"
247,"array([ 156.43922899, -131.92562372])"
248,"array([ 151.09089143, -134.59466777])"
249,"array([ 141.32687989, -128.58492068])"
250,"array([ 144.2163603 , -140.21653662])"
251,"array([ 144.44448784, -141.41652525])"
252,"array([ 139.83325581, -140.42824004])"
253,"array([ 154.67099153, -120.04095393])"
254,"array([ 143.57480382, -142.16871252])"
255,"array([ 131.26732285, -121.37812467])"
256,"array([ 146.09948135, -132.62492445])"
257,"array([ 155.96724369, -121.06979444])"
258,"array([ 149.64554483, -128.84539849])"
259,"array([ 139.29280159, -130.88050113])"
260,"array([ 138.48626874, -133.04373862])"
261,"array([ 146.62915834, -140.70293185])"
262,"array([ 151.11195873, -138.18377047])"
